Unique Skill Weapon,Name,AtkId,Phys MV,Magic MV,Fire MV,Ltng MV,Holy MV,Stam Dmg MV,Status MV,Weapon Buff MV,Poise Dmg MV,Atk Repel MV,StaminaCost,PhysAtkAttribute,Shield Chip,disableGuard,DamageLevel,dmgLevel_vsPlayer,ignoreDmgCount,AtkPhys,AtkMag,AtkFire,AtkLtng,AtkHoly,AtkStam,AtkSuperArmor,isAddBaseAtk,overwriteAttackElementCorrectId,isDisableBothHandsAtkBonus,IsArrowAtk,subCategory1,subCategory2,subCategory3,subCategory4,spEffectId0,spEffectId1,spEffectId2,spEffectId3,spEffectId4,PvP Dmg Mult,PvP Stam Dmg Mult,PvP Poise Dmg Mult
,Stamp (Upward Cut),300000290,215,215,215,215,215,200,100,100,600,140,50,253,0,FALSE,9,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Stamp (Upward Cut) (Lacking FP),300000295,100,100,100,100,100,100,100,100,100,100,50,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Stamp (Sweep) [1],300000891,92,92,92,92,92,110,100,100,150,200,15,253,0,FALSE,2,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Stamp (Sweep) [2],300000892,112,112,112,112,112,160,100,100,250,200,35,253,0,FALSE,7,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Stamp (Sweep) [1] (Lacking FP),300000895,50,50,50,50,50,60,100,100,80,100,15,253,0,FALSE,1,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Stamp (Sweep) [2] (Lacking FP),300000896,70,70,70,70,70,80,100,100,100,100,35,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6909,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes - Loop [1],301401800,107,107,107,107,107,100,100,100,90,500,9,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes - Loop [2],301401810,114,114,114,114,114,100,100,100,90,500,9,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R1 [1],301401801,45,45,45,45,45,100,100,100,90,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R1 [2],301401802,154,154,154,154,154,200,100,100,400,500,30,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R2 [1],301401803,44,44,44,44,44,100,100,100,90,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R2 [2],301401804,203,203,203,203,203,300,100,100,600,500,40,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes - Loop (Lacking FP),301401805,50,50,50,50,50,100,100,100,90,500,12,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R1 [1] (Lacking FP),301401806,25,25,25,25,25,100,100,100,90,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R1 [2] (Lacking FP),301401807,90,90,90,90,90,200,100,100,143,500,35,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R2 [1] (Lacking FP),301401808,25,25,25,25,25,100,100,100,90,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,Wild Strikes R2 [2] (Lacking FP),301401809,90,90,90,90,90,300,100,100,180,500,45,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes - Loop [1],301400800,126,126,126,126,126,138,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes - Loop [2],301400810,119,119,119,119,119,100,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R1 [1],301400801,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R1 [2],301400802,183,183,183,183,183,200,100,100,400,500,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R2 [1],301400803,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R2 [2],301400804,243,243,243,243,243,300,100,100,600,500,30,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes - Loop (Lacking FP),301400805,50,50,50,50,50,100,100,100,100,500,7,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R1 [1] (Lacking FP),301400806,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R1 [2] (Lacking FP),301400807,90,90,90,90,90,200,100,100,150,500,22,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R2 [1] (Lacking FP),301400808,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Curved Sword] Wild Strikes R2 [2] (Lacking FP),301400809,90,90,90,90,90,300,100,100,200,500,32,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes - Loop [1],301400800,126,126,126,126,126,138,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes - Loop [2],301400810,119,119,119,119,119,100,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R1 [1],301400801,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R1 [2],301400802,183,183,183,183,183,200,100,100,400,500,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R2 [1],301400803,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R2 [2],301400804,243,243,243,243,243,300,100,100,600,500,30,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes - Loop (Lacking FP),301400805,50,50,50,50,50,100,100,100,100,500,7,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R1 [1] (Lacking FP),301400806,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R1 [2] (Lacking FP),301400807,90,90,90,90,90,200,100,100,150,500,22,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R2 [1] (Lacking FP),301400808,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Axe] Wild Strikes R2 [2] (Lacking FP),301400809,90,90,90,90,90,300,100,100,200,500,32,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes - Loop [1],301400800,126,126,126,126,126,138,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes - Loop [2],301400810,119,119,119,119,119,100,100,100,100,500,6,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R1 [1],301400801,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R1 [2],301400802,183,183,183,183,183,200,100,100,400,500,20,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R2 [1],301400803,52,52,52,52,52,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R2 [2],301400804,243,243,243,243,243,300,100,100,600,500,30,253,0,FALSE,3,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes - Loop (Lacking FP),301400805,50,50,50,50,50,100,100,100,100,500,7,253,0,FALSE,1,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6903,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R1 [1] (Lacking FP),301400806,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R1 [2] (Lacking FP),301400807,90,90,90,90,90,200,100,100,150,500,22,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R2 [1] (Lacking FP),301400808,25,25,25,25,25,100,100,100,100,500,0,253,0,FALSE,8,0,TRUE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
,[Hammer] Wild Strikes R2 [2] (Lacking FP),301400809,90,90,90,90,90,300,100,100,200,500,32,253,0,FALSE,2,0,FALSE,0,0,0,0,0,0,0,FALSE,-1,TRUE,FALSE,Weapon Skill,-,-,-,6906,-1,-1,-1,-1,0.8,1.25,2.7
